date,discretionary_share,discretionary,total_consumption
2000-01-01,24.852965399633746,76950.0,309621.0
2000-02-01,23.006712240636062,66872.0,290663.0
2000-03-01,24.29020012464924,81455.0,335341.0
2000-04-01,23.301697705770767,78125.0,335276.0
2000-05-01,26.059254746148312,80410.0,308566.0
2000-06-01,25.243912272214157,75138.0,297648.0
2000-07-01,26.658907130605243,87036.0,326480.0
2000-08-01,26.58447126225431,82410.0,309993.0
2000-09-01,22.890334854633217,67860.0,296457.0
2000-10-01,24.659678582632854,76246.0,309193.0
2000-11-01,24.734135637939854,73496.0,297144.0
2000-12-01,24.270602417023362,95033.0,391556.0
2001-01-01,24.372313150670742,75289.0,308912.0
2001-02-01,22.70870077426472,66695.0,293698.0
2001-03-01,24.221999941160895,82333.0,339910.0
2001-04-01,24.1980603373845,77073.0,318509.0
2001-05-01,24.652234422965513,74042.0,300346.0
2001-06-01,25.811909639438706,73836.0,286054.0
2001-07-01,26.31081524004697,82682.0,314251.0
2001-08-01,25.794613751925787,78022.0,302474.0
2001-09-01,23.161356889563443,65772.0,283973.0
2001-10-01,23.37781732880096,71455.0,305653.0
2001-11-01,25.045010833115768,73865.0,294929.0
2001-12-01,25.06945602044785,90235.0,359940.0
2002-01-01,23.967551380802764,73154.0,305221.0
2002-02-01,22.493573734766187,61517.0,273487.0
2002-03-01,23.513529874689752,77684.0,330380.0
2002-04-01,23.66251545773636,75774.0,320228.0
2002-05-01,24.976709776413852,72924.0,291968.0
2002-06-01,24.74302673903955,71613.0,289427.0
2002-07-01,25.1023918352608,79248.0,315699.0
2002-08-01,25.272099281095628,75510.0,298788.0
2002-09-01,22.914600420414118,67695.0,295423.0
2002-10-01,24.130050591988564,73594.0,304989.0
2002-11-01,25.42178842442395,73501.0,289126.0
2002-12-01,24.075558869868967,85878.0,356702.0
2003-01-01,23.568124150582122,70406.0,298734.0
2003-02-01,22.627753409775366,61235.0,270619.0
2003-03-01,23.186483018328584,74625.0,321847.0
2003-04-01,22.281432298444177,70203.0,315074.0
2003-05-01,24.315741088964103,69828.0,287172.0
2003-06-01,23.688738680066635,69110.0,291742.0
2003-07-01,25.430162277975427,76912.0,302444.0
2003-08-01,25.016954311026424,75622.0,302283.0
2003-09-01,22.356699189083034,64320.0,287699.0
2003-10-01,24.09409048753311,72223.0,299754.0
2003-11-01,24.896545053851842,72075.0,289498.0
2003-12-01,24.614613712882992,87438.0,355228.0
2004-01-01,23.437723010538544,70612.0,301275.0
2004-02-01,22.231113731766555,63340.0,284916.0
2004-03-01,23.175437997336157,74646.0,322091.0
2004-04-01,23.10829778281474,75239.0,325593.0
2004-05-01,25.305036604392527,75906.0,299964.0
2004-06-01,24.081625441696115,68151.0,283000.0
2004-07-01,25.571681603087743,77384.0,302616.0
2004-08-01,25.407312187976444,76491.0,301059.0
2004-09-01,22.47829413292343,64051.0,284946.0
2004-10-01,23.703646300127364,70351.0,296794.0
2004-11-01,23.901516994086293,68790.0,287806.0
2004-12-01,24.07455090946439,83212.0,345643.0
2005-01-01,23.274255738138976,70322.0,302145.0
2005-02-01,21.472282283494916,58492.0,272407.0
2005-03-01,22.941568832535317,73260.0,319333.0
2005-04-01,22.88890147367891,72751.0,317844.0
2005-05-01,24.138642180247004,71398.0,295783.0
2005-06-01,25.184681798015507,71525.0,284002.0
2005-07-01,25.811157400496672,76082.0,294764.0
2005-08-01,24.762657966055706,74833.0,302201.0
2005-09-01,23.07398654159162,66487.0,288147.0
2005-10-01,24.94585968162161,74874.0,300146.0
2005-11-01,24.801923816038617,70339.0,283603.0
2005-12-01,24.054704727993688,83230.0,346003.0
2006-01-01,22.475960314577907,66218.0,294617.0
2006-02-01,21.979971642577706,59218.0,269418.0
2006-03-01,22.65102920057444,70977.0,313350.0
2006-04-01,22.809008156690275,71363.0,312872.0
2006-05-01,24.808122856145204,72468.0,292114.0
2006-06-01,23.88221804404182,67067.0,280824.0
2006-07-01,24.998631674010017,73078.0,292328.0
2006-08-01,24.28488772180891,70933.0,292087.0
2006-09-01,23.079203789248666,63051.0,273194.0
2006-10-01,24.203832462936003,71327.0,294693.0
2006-11-01,25.09616064484197,70987.0,282860.0
2006-12-01,24.199977123349143,82512.0,340959.0
2007-01-01,23.45246768666181,69530.0,296472.0
2007-02-01,22.291513145111324,60803.0,272763.0
2007-03-01,22.70261478554549,71187.0,313563.0
2007-04-01,22.86858361035289,72302.0,316163.0
2007-05-01,24.777393931746644,72655.0,293231.0
2007-06-01,24.744909778428795,69431.0,280587.0
2007-07-01,24.96913918911505,72818.0,291632.0
2007-08-01,25.082844933876064,74254.0,296035.0
2007-09-01,23.094141724226144,64998.0,281448.0
2007-10-01,23.69959324408049,70384.0,296984.0
2007-11-01,24.951915597731546,70573.0,282836.0
2007-12-01,24.16490600482843,84980.0,351667.0
2008-01-01,22.216663546635854,68833.0,309826.0
2008-02-01,22.277006964510363,61446.0,275827.0
2008-03-01,23.40569161614384,73158.0,312565.0
2008-04-01,23.46835320813016,72915.0,310695.0
2008-05-01,24.710198245224344,71197.0,288128.0
2008-06-01,24.480849509311902,69024.0,281951.0
2008-07-01,25.3778915828211,75719.0,298366.0
2008-08-01,24.97475562760601,72715.0,291154.0
2008-09-01,24.02525645535527,67615.0,281433.0
2008-10-01,23.87823151654866,69606.0,291504.0
2008-11-01,25.77450642993096,73396.0,284762.0
2008-12-01,24.18421489957742,81495.0,336976.0
2009-01-01,23.56265440570958,68671.0,291440.0
2009-02-01,21.939228097607916,58368.0,266044.0
2009-03-01,22.9123213595983,71184.0,310680.0
2009-04-01,23.238884899131683,71190.0,306340.0
2009-05-01,24.93818512940847,71206.0,285530.0
2009-06-01,24.30086893163611,67371.0,277237.0
2009-07-01,25.474080777892365,72621.0,285078.0
2009-08-01,25.632706927127007,74584.0,290972.0
2009-09-01,23.886904117498467,66193.0,277110.0
2009-10-01,23.66004260065534,68091.0,287789.0
2009-11-01,25.267963756409355,71948.0,284740.0
2009-12-01,24.401057158162345,82448.0,337887.0
2010-01-01,23.501120177584117,68604.0,291918.0
2010-02-01,22.588957853907328,58994.0,261163.0
2010-03-01,23.36159454484657,74755.0,319991.0
2010-04-01,22.46463286177149,67393.0,299996.0
2010-05-01,24.688116730907613,69303.0,280714.0
2010-06-01,24.516264367400378,67786.0,276494.0
2010-07-01,25.298835505513996,72171.0,285274.0
2010-08-01,24.830158064637086,72842.0,293361.0
2010-09-01,23.26349925735473,64060.0,275367.0
2010-10-01,25.176301955586172,72365.0,287433.0
2010-11-01,26.6178064261889,75651.0,284212.0
2010-12-01,24.341755197152345,79599.0,327006.0
2011-01-01,22.641783457991433,65478.0,289191.0
2011-02-01,22.224139451595708,57959.0,260793.0
2011-03-01,21.396026036313806,62455.0,291900.0
