date,STI_yoy,discretionary_share_yoy,disposable_income_yoy,cpi_yoy,unemployment_rate_yoy
2010-01-01,-0.9732769697291275,-0.061534228125463386,-6974.0,-1.3,0.7700000000000005
2010-02-01,-1.1226669260519937,0.6497297562994113,750.0,-1.1,0.4500000000000002
2010-03-01,-1.1309735592541028,0.44927318524826987,-3697.0,-1.1,0.2400000000000002
2010-04-01,-0.9687467724212167,-0.774252037360192,-2464.0,-1.2,0.1299999999999999
2010-05-01,-0.764400560700452,-0.2500683985008578,-21206.0,-0.9,0.009999999999999787
2010-06-01,-0.6716875751862044,0.21539543576426823,36619.0,-0.7,-0.07000000000000028
2010-07-01,-0.5052655961181685,-0.17524527237836907,-6124.0,-0.9,-0.46999999999999975
2010-08-01,-0.40835741836877026,-0.8025488624899211,-1020.0,-0.9,-0.34000000000000075
2010-09-01,-0.260939431261194,-0.6234048601437365,3459.0,-0.6,-0.2599999999999998
2010-10-01,-0.22934986259528423,1.5162593549308312,32484.0,0.2,-0.1200000000000001
2010-11-01,-0.3114492406193722,1.3498426697795445,2510.0,0.1,-0.20000000000000018
2010-12-01,-0.4735922761840681,-0.05930196101000007,-9667.0,0.0,-0.29000000000000004
2011-01-01,-0.3788235701863406,-0.8593367195926831,-11864.0,-0.6,-0.20999999999999996
2011-02-01,-0.2882500564237628,-0.3648184023116201,5768.0,-0.5,-0.3200000000000003
2011-03-01,0.07815543959350801,-1.9655685085327654,-12900.0,-0.5,-0.3899999999999997
2011-04-01,0.6720225802589641,-0.1463996165115624,-8651.0,-0.4,-0.41000000000000014
2011-05-01,0.6172338273974456,-0.7095391723272293,-10521.0,-0.4,-0.5
2011-06-01,0.5329949776216876,0.47555300385019095,-37946.0,-0.4,-0.46999999999999975
2011-07-01,0.3750471342921414,0.8293720032524199,6459.0,0.2,-0.33000000000000007
2011-08-01,0.31186799696032275,-0.7106295406235823,-6762.0,0.2,-0.5899999999999999
2011-09-01,0.06548611161986906,-0.525082161691607,-4800.0,0.0,-0.8700000000000001
2011-10-01,0.008641638274869967,-1.1917778751253962,-16645.0,-0.2,-0.6400000000000006
2011-11-01,0.07182077560668865,-2.3532834073320146,-6471.0,-0.5,-0.5800000000000001
2011-12-01,0.04023120694077964,-0.6889875794981144,-8820.0,-0.2,-0.3600000000000003
2012-01-01,-0.02714312262618873,-0.007178126052071576,5457.0,0.1,-0.2999999999999998
2012-02-01,-0.054537499056947825,-0.7263141356598446,8925.0,0.3,-0.1899999999999995
2012-03-01,-0.36829371396437066,1.2710926211419036,15334.0,0.5,-0.1800000000000006
2012-04-01,-0.8884518610760381,0.01375769357722234,11052.0,0.4,-0.17999999999999972
2012-05-01,-0.8652526768804286,0.04690253769937058,-305.0,0.2,-0.21999999999999975
2012-06-01,-0.7388944022167918,-1.1342879987291639,20260.0,-0.2,-0.3700000000000001
2012-07-01,-0.5451617979861862,-1.7987982357471246,-21233.0,-0.4,-0.3600000000000003
2012-08-01,-0.5872812228740649,-0.34559796981752555,8325.0,-0.4,-0.2599999999999998
